Codigo,Ciudad,Departamento,Barrio,Direccion,Area Terreno,Area Construida,Detalle Disponibilidad,Estrato,Precio,Tipo de Inmueble,Datos Adicionales
17180,BOGOTA,CUNDINAMARCA,,AV CR 7 NO. 166 - 51 LT B,0,0,COMERCIALIZABLE CON RESTRICCION,TRES,29580811900,LOTE COMERCIAL,ESTE INMUEBLE SE COMERCIALIZARÁ A TRAVES DE SUBASTA ESPECIAL
19292,BOGOTA,CUNDINAMARCA,,CL 72 No. 12 - 77,0,0,COMERCIALIZABLE,COMERCIAL,16460591500,EDIFICIO,
19292,BOGOTA,CUNDINAMARCA,,CL 72 No. 12 - 77,0,0,COMERCIALIZABLE VENTA ANTICIPADA,COMERCIAL,16460591500,EDIFICIO,
2575,SOGAMOSO,BOYACÁ,CENTRO,CRA. 10 #11- 78/80 Ó CL 12 # 9 - 77/85 Ó CALLE 12 # 9 - 65/73 - SOGAMOSO,1655.08,7269,COMERCIALIZABLE CON RESTRICCION,CUATRO,13768280900,CLINICA,ESTE INMUEBLE SE COMERCIALIZARÁ A TRAVÉS DE SUBASTA PÚBLICA
11409,BUGA,VALLE DEL CAUCA,VEREDA CHAMBIMBAL,LT A1-A24 B1-B79 C1-C51 D1-D9 STA ROSA LT1-46 LT  1-7 1-10 1-11 KR 8 -37,3217197,22724,COMERCIALIZABLE FIDUCIA,RURAL,45233789820,LOTE MIXTO,
17120,PUERTO LOPEZ,META,,CLL. 9 N° 5-76 Y KR. 5A N° 9-44,0,0,COMERCIALIZABLE,TRES,4190155021,LOTE CON CONSTRUCCION,"LOTE DE TERRENO URBANO QUE CUENTA CON CONSTRUCCIONES TIPO BODEGA DE ALMACENAMIENTO, OFICINAS Y CASA. EL INMUEBLE SE ENCUENTRA UBICADO EN LA ESQUINA NOROCCIDENTAL DE LA INTERSECCION DE LA CRA 5 Y LA CALLE 9, ENFRENTE DEL HOSPITAL"
19340,TARAZA,ANTIOQUIA,,LETICIA 23 URUGUAY - PIEDRA BRAVA (CULTIVO CAUCHO),0,0,COMERCIALIZABLE TERCEROS,RURAL,3109306614,LOTE CON CONSTRUCCION,"INMUEBLE UBICADO EN EL CORREGIMIENTO DE LA CAUCANA, VEREDA PIEDRA BRAVA DEL MUNICIPIO DE TARAZÁ, LOTE DE TERRENO RURAL AGROPECUARIO, CON CULTIVO DE CAUCHO EL INMUEBLE SE ENCUENTRA CLASIFICADO DENTRO DEL SUELO RURAL DEL MUNICIPIO, EN ZONA DE INCENTIVO"
5017,RICAURTE,CUNDINAMARCA,CONDOMINIO CAMPESTRE MONACO,LT 1 TAMBACU HO GIRARDOT RESORT,25002.63,5142,COMERCIALIZABLE FIDUCIA,COMERCIAL,10407336173,HOTEL,
17865,FUNZA,CUNDINAMARCA,,CALLE 15 No. 1-70,0,0,COMERCIALIZABLE CON RESTRICCION,INDUSTRIAL,2100890600,BODEGA,
19304,BOGOTA,CUNDINAMARCA,,Av. 15 No. 127 B 78 Apto. 1201 - Edificio Mirador del Country,0,0,COMERCIALIZABLE TERCEROS,SEIS,2042687988,APARTAMENTO,
18980,ENVIGADO,ANTIOQUIA,,VEREDA PANTANILLO - CONDOMINIO CAMPESTRE PH - LOTE No. 9,0,0,COMERCIALIZABLE TERCEROS,RURAL,2041211340,LOTE VIVIENDA,"¡GRAN OPORTUNIDAD!, LOTE UBICADO EN EL CONDOMINIO CASA CAMPESTRE, CON EXCELENTE UBICACIÓN Y ÁREA. INMUEBLE PROPIEDAD UARIV"
18998,PEREIRA,RISARALDA,,SECTOR MARACAY A 1.5 KM VIA A CERRITOS FINCA EL TEJAR LOTE 32,0,0,COMERCIALIZABLE VENTA ANTICIPADA,CINCO,1946238900,FINCA,
19188,BUCARAMANGA,SANTANDER,,CARRERA 19  No. 102-40,0,0,EN PUJA,CUATRO,1935725000,EDIFICIO OFICINAS,
19143,CALI,VALLE DEL CAUCA,,Carrera 7 No. 50-35 ENER 22 Bodega de Alta Tensión,0,0,COMERCIALIZABLE TERCEROS,DOS,1802514500,BODEGA,ESTE INMUEBLE ES PROPIEDAD DE EMCALI
5616,CHIA,CUNDINAMARCA,VEREDA FONQUETA,FINCA SAN ANTONIO DE LOS VIENTOS - VEREDA FONQUETA CHIA,11130,570,COMERCIALIZABLE CON RESTRICCION,TRES,2558936000,FINCA,
